390,670
2,3
49
122,65,0,1,1
122,120,1,1,1
122,175,1,1,1
122,230,2,1,1
122,285,2,1,1
177,65,0,1,1
177,120,1,1,1
177,175,1,1,1
177,230,2,1,1
177,285,2,1,1
232,65,0,1,1
232,120,1,1,1
232,175,1,1,1
232,230,2,1,1
232,285,2,1,1
287,65,0,1,1
287,120,1,1,1
287,175,1,1,1
287,230,2,1,1
287,285,2,1,1
342,65,0,1,1
342,120,1,1,1
342,175,1,1,1
342,230,2,1,1
342,285,2,1,1
397,65,0,1,1
397,120,1,1,1
397,175,1,1,1
397,230,2,1,1
397,285,2,1,1
452,120,1,1,1
452,175,1,1,1
452,230,2,1,1
452,285,2,1,1
507,65,0,1,1
507,120,1,1,1
507,175,1,1,1
507,230,2,1,1
507,285,2,1,1
562,65,0,1,1
562,120,1,1,1
562,175,1,1,1
562,230,2,1,1
562,285,2,1,1
617,65,0,1,1
617,120,1,1,1
617,175,1,1,1
617,230,2,1,1
617,285,2,1,1
